register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0800,3774/21,2021-10-29,Permission,Other,APPLICATION WITHDRAWN,2022-09-23,Harley Issuer Designated Activity Compan,Lands of the former Smurfit Paper Mills Factory an,93.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3774%2F21
VS-0800,3324/19,2019-06-21,Permission,Other,APPLICATION WITHDRAWN,2019-08-12,Gannon Properties,Planning permission sought for the following revis,99.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3324%2F19
VS-0800,3159/17,2017-08-31,Permission,Granted,GRANT PERMISSION,2017-09-27,Gannon Properties,Revisions to previously approved development Reg.,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3159%2F17
VS-0800,2996/17,2017-08-31,Permission,Granted,GRANT PERMISSION,2017-09-27,Gannon Properties,Permission sought for a single storey Sub-Station,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2996%2F17
VS-0800,2308/16,2016-06-17,Permission,Granted,GRANT PERMISSION,2016-07-14,Gannon Properties,Planning permission sought by Gannon Properties fo,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2308%2F16
VS-0800,2620/14,2014-12-23,Permission,Granted,GRANT PERMISSION,2015-01-28,Gannon Properties,"Demolition of existing offices,factory buildings,",99.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2620%2F14
VS-0800,3497/12,2012-11-21,Retention Permission,Granted,GRANT RETENTION PERMISSIO,2013-01-11,Gerry Kinsella,"Retention of porch, signage & change of use. Permi",0.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3497%2F12
VS-0800,2506/10,2010-03-26,Permission,Granted,GRANT PERMISSION,2010-05-19,Tadhg Campion,Change of use from betting office to takeaway and,0.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2506%2F10
VS-0800,5694/05,2006-09-07,Permission,Granted,GRANT PERMISSION,2006-10-04,Gannon Homes Ltd.,"demolition of existing offices, factory buildings,",92.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5694%2F05
VS-0800,5159/05,2005-10-13,Permission,Granted,APPLICATION DECLARED INVA,2005-10-21,Gannon Homes Ltd,demolition & provision of 27 one bedroom and 93 tw,91.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5159%2F05
