derelict_site_reference_number,full_address,administrative_area_name,derelict_site_status,is_on_current_derelict_sites_register,is_active_derelict_site_case,is_on_current_record_of_protected_structures,is_owned_by_dublin_city_council,date_added_to_the_derelict_sites_register,most_recent_update_date,derelict_site_description,site_location_latitude,site_location_longitude
DS040,10 Conyngham Road Dublin 8~|~11 Conyngham Road Dublin 8~|~12 Conyngham Road Dublin 8~|~13 Conyngham Road Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,Yes,No,2019-08-07,16/07/2026,"Conyngham Road, site at 10-13, Dublin 8 (Protected Structures facades of 10-12)",53.3480199,-6.296121522
DS887,2B Chapelizod Road Dublin 8~|~2C Chapelizod Road Dublin 8~|~2A Chapelizod Road Dublin 8 D08YTE5~|~2 Chapelizod Road Dublin 8 D08HX9A,South Central,On Derelict Sites Register,Yes,Yes,No,No,2015-06-04,16/07/2026,"Chapelizod Road, 2A/B/C, Dublin 8",53.34771541,-6.312619812
DS1669,5 Walworth Road Dublin 8 D08Y7C7,South East,On Derelict Sites Register,Yes,Yes,No,No,2023-06-15,16/07/2026,"Walworth Road, 5, Portobello, Dublin 8",53.3307252899,-6.269279929
DS1693,492 Mourne Road Dublin 12 D12NA71,South East,On Derelict Sites Register,Yes,Yes,No,No,2026-03-30,16/07/2026,"Mourne Road, 492, Crumlin, Dublin 12",53.3336332699,-6.308468744
DS1547,7/8 BEAVER STREET DUBLIN 1 D01WF59  ,Central,On Derelict Sites Register,Yes,Yes,No,No,2025-02-06,16/07/2026,"Beaver Street, 7/8, Dublin 1",53.35287514,-6.250196712
DS1744,No Address,South East,On Derelict Sites Register,Yes,Yes,No,No,2025-07-10,16/07/2026,"Irishtown Road/Rosary Terrace, Site on laneway, Dublin 4",53.34007247,-6.2244286409
DS1296,No Address,South East,On Derelict Sites Register,Yes,Yes,No,No,2026-04-08,16/07/2026,"Avenue Road, Site to rear of 43 Bloomfield Avenue, Dublin 8",53.3315352999,-6.270852983
DS1012,49 Rathmore Park Dublin 5 D05K853,North Central,On Derelict Sites Register,Yes,Yes,No,No,2017-10-19,16/07/2026,"Rathmore Park, 49, Raheny, Dublin 5",53.38181502,-6.172477765
DS928,361 South Circular Road Dublin 8~|~359 South Circular Road Dublin 8~|~357 South Circular Road Dublin 8~|~355 SOUTH CIRCULAR ROAD DUBLIN 8 D08TX20  ~|~360 South Circular Road Dublin 8 D08K6Y1~|~358 South Circular Road Dublin 8 D08A8H7~|~356 South Circular Road Dublin 8 D08PP9Y,South Central,On Derelict Sites Register,Yes,Yes,Yes,No,2021-01-06,16/07/2026,"South Circular Road, 355-361, Dublin 8 (façade Protected)",53.3341982357,-6.2930404601
DS884,UNIT 4 GREENMOUNT INDUSTRIAL ESTATE GREENMOUNT AVENUE DUBLIN 12 D12K883,South East,On Derelict Sites Register,Yes,Yes,No,No,2015-04-29,16/07/2026,"Greenmount Industrial Estate, Unit 4, D12",53.3282982125,-6.2802564138
DS1363,39/40 BRIDGEFOOT STREET DUBLIN 8 D08T6F7  ,South Central,On Derelict Sites Register,Yes,Yes,No,No,2024-02-23,16/07/2026,"Bridgefoot Street 39-40, Dublin 8",53.34570217,-6.28114143
DS1336,414 South Circular Road Dublin 8~|~415 South Circular Road Dublin 8~|~416 SOUTH CIRCULAR ROAD DUBLIN 8 D08RF25  ,South Central,On Derelict Sites Register,Yes,Yes,No,No,2023-02-13,16/07/2026,"South Circular Road, 414-416, Dublin 8",53.33420651,-6.292093058
DS1644,201 Crumlin Road Dublin 12 D12HT21,South East,On Derelict Sites Register,Yes,Yes,No,No,2024-03-11,16/07/2026,"Crumlin Road, 201, Crumlin, Dublin 12",53.3280496732,-6.3063243123
DS1126,48A Dolphin's Barn Street Dublin 8~|~48B Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 48/48A, Dublin 8",53.3351413624,-6.2899145997
DS1123,45 Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 45, Dublin 8",53.3349729332,-6.2900026344
DS1161,23 James's Street Dublin 8 D08V3P2,South Central,On Derelict Sites Register,Yes,Yes,Yes,No,2023-02-23,16/07/2026,"James's Street, 23, Dublin 8 (Protected Structure)",53.3428407799,-6.291380167
DS851,Wharton Hall Harolds Cross Dublin 6W D6WW838,South East,On Derelict Sites Register,Yes,Yes,No,No,2014-04-01,16/07/2026,"Wharton Terrace, Wharton Hall, Harold's Cross, Dublin 6W",53.3291122399,-6.275328937
DS1280B,53 Clanbrassil Street Lower Dublin 8,South East,On Derelict Sites Register,Yes,Yes,No,No,2024-06-11,16/07/2026,"Clanbrassil Street Lower, 53, Dublin 8",53.3324638815,-6.2749442542
DS1844,5 Saint Patrick's Road Dublin 5 D09N2R0,Central,On Derelict Sites Register,Yes,Yes,No,No,2024-08-20,16/07/2026,"Saint Patrick's Road, 5, Dublin 9",53.36276978,-6.261057792
DS1218,4 Spencer Place Dublin 3 D03X651,Central,On Derelict Sites Register,Yes,Yes,No,No,2023-06-27,16/07/2026,"Spencer Place, 4, North Strand, Dublin 3",53.35787423,-6.239423188
DS1562,91 Raheny Road Dublin 5 D05F9W2,North Central,On Derelict Sites Register,Yes,Yes,No,No,2025-10-13,16/07/2026,"Raheny Road, 91, Raheny, Dublin 5",53.3845918899,-6.1756283449
DS2062,607 Clonard Road Dublin 12 D12F2D0,South East,On Derelict Sites Register,Yes,Yes,No,No,2025-01-22,16/07/2026,"Clonard Road, 607, Kimmage, Dublin 12",53.3184614399,-6.300362061
DS1526,398 Clonard Road Dublin 12 D12H5P2~|~398A Clonard Road Dublin 12 D12K663,South East,On Derelict Sites Register,Yes,Yes,No,No,2023-03-06,16/07/2026,"Clonard Road, 398/398A, Kimmage, Dublin 12",53.3176902399,-6.299987587
DS1982,32 Coolgariff Road Dublin 9 D09AE62,North Central,On Derelict Sites Register,Yes,Yes,No,No,2025-09-16,16/07/2026,"Coolgariff Road, 32, Beaumont, Dublin 9",53.3891911299,-6.236036233
DS1601,129 Tyrconnell Road Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2023-06-19,16/07/2026,"Tyrconnell Road, 129, The Grotto, Inchicore, Dublin 8",53.3368225631,-6.3247206407
DS1412,No Address,South Central,On Derelict Sites Register,Yes,Yes,No,No,2024-11-11,16/07/2026,"Moeran Road & Cromwellsfort Road (Site to Rear), Walkinstown, Dublin 12",53.3172504799,-6.320247607
